NW,S,NE,Calm,SW,S,S,SE,SW,NE,SE,SW
Calm,NE,SW,SW,S,Calm,S,S,SW,Calm,SE,NW
SE,SE,SW,W,SE,SE,S,SW,SW,Calm,NE,SW
Calm,SW,SW,SW,SW,SW,S,SW,SW,SE,NW,NW
NE,SE,Calm,SW,SE,SW,S,SW,S,NE,SE,NW
Calm,NE,NW,SW,SW,SW,SW,SE,SW,NE,NE,NW
Calm,SW,NE,NE,SW,SW,SW,SW,SW,Calm,Calm,Calm
Calm,S,NE,SE,SE,SW,SE,SW,Calm,SW,SE,SW
Calm,SW,NE,S,SW,S,S,SW,SW,Calm,NE,Calm
NW,SW,S,SW,NW,Calm,S,Calm,SW,NE,NE,Calm
SE,Calm,SW,NW,NW,SW,S,SW,SW,NW,NE,NE
Calm,NW,SW,NW,NW,SW,SE,SW,S,SW,NE,NE
SE,SW,SW,SW,SW,S,SE,SW,NW,SW,SW,NE
SE,Calm,SE,SE,SW,SW,SW,S,SW,S,SW,NE
Calm,NW,SE,SW,NW,SW,SE,S,SE,SE,NW,Calm
Calm,NW,SW,NW,W,Calm,SE,NW,NW,SE,NE,SE
Calm,NE,SW,SW,SE,SW,SE,NW,NE,SW,NW,NE
Calm,Calm,SW,SE,SW,SW,SW,NW,NE,NE,NW,S
NE,SE,NW,SW,SW,SW,SE,NE,NE,S,Calm,SW
SE,Calm,SE,NW,NW,S,S,SW,SE,NE,W,SW
Calm,Calm,SW,W,S,SW,SW,SW,W,NW,Calm,SW
Calm,Calm,SW,S,NW,S,SW,SW,NW,NW,NE,Calm
Calm,Calm,SW,SE,SW,SW,S,SW,SE,SW,NE,E
Calm,NE,SW,SW,S,SW,SE,SW,NE,Calm,SE,NE
Calm,NE,Calm,SW,SW,SW,SW,SW,SW,SW,SE,NW
SE,NE,S,S,SW,SW,SW,SW,SE,NE,NW,SE
Calm,SE,SW,NW,S,SW,S,SW,NW,SE,SE,NW
NW,SW,NW,SW,S,S,SW,SW,NW,SE,NW,NE
SE,,NE,W,Calm,SW,SW,SW,SE,NE,NE,NW
Calm,,SW,SW,SE,S,SW,S,SE,NE,Calm,NE
S,,SW,,SE,,SW,SW,,NE,,Calm
