Date,Time,Temperature,Humidity,Rainfall,Wind_Speed,Wind_Direction
2017-02-16,18:30,26.1,57.5,0,1.1,N
2017-02-17,9:30,26.6,60.1,0,2.2,SW
2017-02-17,12:30,26.1,53.2,0.1,3.1,SW
2017-02-17,18:30,25.8,55.8,0.1,1.2,NW
2017-02-18,9:30,25.9,68.2,0,0.7,W
2017-02-18,12:30,26.2,53.5,0,3.2,W
2017-02-18,18:30,25.9,59.9,0,0.9,N
2017-02-19,9:30,25.9,72.7,0,2.3,S
2017-02-19,12:30,26.4,46.9,0,5,SW
2017-02-19,18:30,26.3,63.4,0.2,0.2,Calm
2017-02-20,9:30,25.9,75.9,0,0.9,W
2017-02-20,12:30,26.7,52.6,0,3.6,W
2017-02-20,18:30,26.7,63.3,0.1,0.7,N
2017-02-21,9:30,26.3,75.7,0,1.2,W
2017-02-21,12:30,27.5,46.9,0,3.7,SW
2017-02-21,18:30,26.5,63.3,1.3,0.4,Calm
2017-02-22,9:30,26.5,72.6,0,1.4,W
2017-02-22,12:30,26.2,50.6,0,3.8,SW
2017-02-22,18:30,26,59.8,0.7,0.2,Calm
2017-02-23,9:30,26.1,72.2,0,1.1,W
2017-02-23,12:30,26.9,46.5,0,3.8,W
2017-02-23,18:30,27.1,57.3,1.4,0.5,Calm
2017-02-24,9:30,26.4,68.7,0,1.6,SW
2017-02-24,12:30,27,43.3,0,5.1,SW
2017-02-24,18:30,26.9,62.4,0.8,0.6,N
2017-02-25,9:30,26.2,69.6,0.9,1.3,S
2017-02-25,12:30,27.5,45.2,0.4,4.9,SW
2017-02-25,18:30,26.8,66.7,0,0.5,N
2017-02-26,9:30,26.9,71.2,0,2.4,S
2017-02-26,12:30,29,45.7,0.1,3.9,SW
2017-02-26,18:30,28.6,60.1,0,0.9,N
2017-02-27,9:30,27.6,68,2.4,2.3,S
2017-02-27,12:30,26,56.7,0,2.5,W
2017-02-27,18:30,25.1,65.4,0,0.2,Calm
2017-02-28,9:30,26,65.2,0,1.7,SW
2017-02-28,12:30,27.3,53,0,3.3,W
2017-02-28,18:30,26.4,64.4,0.8,0.4,Calm
2017-03-01,9:30,27.5,65.4,0,2.6,S
2017-03-01,12:30,27.7,47.8,0,4.1,SW
2017-03-01,18:30,27.1,65.7,0,0.2,N
2017-03-02,9:30,26.9,68.9,0,1.7,S
2017-03-02,12:30,28,51.2,0,4.1,W
2017-03-02,18:30,27.8,65.6,0,0.6,N
2017-03-03,9:30,28.2,69.1,0,3,S
2017-03-03,12:30,27.7,51.8,0,6.2,SW
2017-03-03,18:30,27.5,63.8,0,0.2,Calm
2017-03-04,9:30,27.1,67.4,1.9,2.7,S
2017-03-04,12:30,28.2,50.5,0,5,W
2017-03-04,18:30,28.2,66.5,0,0,Calm
2017-03-05,9:30,28.9,58.5,0,2.9,SW
2017-03-05,12:30,29.7,45.8,0,4.2,W
2017-03-05,18:30,29.5,65.2,0.1,0.1,Calm
2017-03-06,9:30,29.9,60.6,0,2.5,SW
2017-03-06,12:30,29.8,48.4,0,4.9,W
2017-03-06,18:30,29.5,63.5,0,0.3,Calm
2017-03-07,9:30,29,63,0,2.5,SW
2017-03-07,12:30,27.6,53.5,0,3.3,W
2017-03-07,18:30,26.9,66.3,0,0,Calm
2017-03-08,9:30,27.5,57.6,0,2.3,SW
2017-03-08,12:30,28.6,46.1,0.2,4.5,SW
2017-03-08,18:30,28.2,63,0,0.6,N
2017-03-09,9:30,28.3,62.8,0,2.7,S
2017-03-09,12:30,28.4,48.1,1.8,4.1,S
2017-03-09,18:30,29.2,56.4,0,1.1,NW
2017-03-10,9:30,28,65.4,0,2.2,S
2017-03-10,12:30,28.6,50.7,0.9,6.7,SW
2017-03-10,18:30,28.4,56.6,0,0.9,N
2017-03-11,9:30,28.8,63.5,0,4.1,S
2017-03-11,12:30,28.3,50.6,0,6.3,SW
2017-03-11,18:30,27.7,58,0,1.3,NW
2017-03-12,9:30,28.2,62.9,0.9,2.8,SW
2017-03-12,12:30,26.6,59.3,0,3.5,SW
2017-03-12,18:30,26.4,60.7,0,1.1,NW
2017-03-13,9:30,26.1,70.2,0,1.8,W
2017-03-13,12:30,26.6,57.8,0,2.9,W
