1	28.6000003815	38.4000015259
2	28.3999996185	38.0999984741
3	28.1000003815	38.9000015259
4	28.0	40.0
5	28.0	40.5
6	27.8999996185	40.5
7	27.7999992371	40.9000015259
8	27.7999992371	40.7999992371
9	27.8999996185	40.7000007629
10	27.8999996185	40.7999992371
11	27.8999996185	40.2999992371
12	27.8999996185	40.2000007629
13	27.8999996185	40.4000015259
14	27.8999996185	39.9000015259
15	28.0	40.2999992371
16	27.8999996185	40.0
17	28.0	40.2999992371
18	28.0	40.2999992371
19	28.1000003815	40.0999984741
20	28.1000003815	39.5999984741
21	28.1000003815	39.7000007629
22	28.1000003815	39.9000015259
23	28.1000003815	39.7000007629
24	28.2000007629	39.2000007629
25	28.1000003815	39.2000007629
26	28.1000003815	39.9000015259
27	28.2000007629	39.2999992371
28	28.2000007629	39.4000015259
29	28.2000007629	39.2999992371
30	28.2000007629	39.4000015259
31	28.2000007629	39.5999984741
32	28.2000007629	38.5999984741
33	28.2000007629	38.9000015259
34	28.2000007629	38.5
35	28.2000007629	38.9000015259
36	28.2000007629	39.2999992371
37	28.2999992371	38.9000015259
38	28.2999992371	38.4000015259
39	28.2999992371	38.5
40	28.2999992371	38.4000015259
41	28.2999992371	38.0
42	28.2999992371	38.0999984741
43	28.3999996185	37.5
44	28.2999992371	37.7000007629
45	28.2999992371	37.7999992371
46	28.3999996185	37.0
47	28.3999996185	37.2000007629
48	28.2999992371	37.5
49	28.3999996185	37.4000015259
50	28.2999992371	37.5999984741
51	28.3999996185	38.0
52	28.3999996185	37.7000007629
53	28.3999996185	37.7000007629
54	28.2999992371	38.0999984741
55	28.2999992371	38.2000007629
56	28.3999996185	38.0999984741
57	28.3999996185	38.0999984741
58	28.3999996185	38.0999984741
59	28.2999992371	38.0999984741
60	28.2999992371	38.2000007629
61	28.2999992371	38.5999984741
62	28.2999992371	38.9000015259
63	28.2999992371	38.7999992371
64	28.2999992371	38.9000015259
65	28.3999996185	38.7999992371
66	28.2999992371	39.0
67	28.2000007629	39.4000015259
68	28.2999992371	39.2999992371
69	28.2999992371	39.2000007629
70	28.3999996185	39.0
71	28.3999996185	38.7000007629
72	28.3999996185	38.9000015259
73	28.3999996185	39.0
74	28.2999992371	39.4000015259
75	28.2999992371	39.4000015259
76	28.3999996185	38.7999992371
77	28.3999996185	38.7000007629
78	28.3999996185	38.0
79	28.2999992371	39.0
80	28.2999992371	39.0999984741
81	28.2999992371	39.0
82	28.2000007629	39.5999984741
83	28.2000007629	39.4000015259
84	28.2999992371	39.2999992371
85	28.3999996185	38.5999984741
86	28.3999996185	38.5
87	28.3999996185	38.7000007629
88	28.2999992371	39.0
89	28.2999992371	38.9000015259
90	28.2999992371	39.0999984741
91	28.2000007629	39.4000015259
92	28.1000003815	40.0
93	28.1000003815	40.2000007629
94	28.0	40.2000007629
95	28.2000007629	39.7999992371
96	28.2000007629	39.4000015259
97	28.2999992371	39.2000007629
98	28.2999992371	39.2000007629
99	28.2999992371	39.2999992371
100	28.2999992371	38.9000015259
101	28.2999992371	38.9000015259
102	28.2999992371	39.0
103	28.2999992371	38.9000015259
104	28.2999992371	39.0999984741
105	28.2000007629	39.2000007629
106	28.2999992371	39.2999992371
107	28.2999992371	39.0
108	28.2000007629	39.2999992371
109	28.2000007629	38.9000015259
110	28.2000007629	39.4000015259
111	28.2000007629	39.4000015259
112	28.2000007629	39.2999992371
113	28.2999992371	39.0999984741
114	28.2999992371	39.0999984741
115	28.2999992371	39.2999992371
116	28.2999992371	39.5
117	28.2999992371	39.7000007629
118	28.1000003815	39.9000015259
119	28.2000007629	40.0999984741
120	28.2000007629	40.0
121	28.1000003815	39.7999992371
122	28.2000007629	39.9000015259
123	28.2000007629	39.7000007629
124	28.2999992371	39.2999992371
125	28.2999992371	39.2000007629
126	28.2999992371	39.2000007629
127	28.2000007629	39.4000015259
128	28.2000007629	39.2000007629
129	28.1000003815	39.2000007629
130	28.1000003815	39.7000007629
131	28.1000003815	39.9000015259
132	28.2000007629	39.5999984741
133	28.2000007629	39.0999984741
134	28.2000007629	38.7999992371
135	28.2000007629	38.9000015259
136	28.2999992371	38.5
137	28.2999992371	38.2999992371
138	28.2999992371	38.7999992371
139	28.2999992371	38.4000015259
140	28.3999996185	38.2000007629
141	28.3999996185	38.0
142	28.2000007629	38.4000015259
143	28.2999992371	38.5999984741
144	28.2999992371	38.4000015259
145	28.2999992371	38.2000007629
146	28.2999992371	38.0999984741
147	28.2000007629	38.4000015259
148	28.1000003815	38.7999992371
149	28.1000003815	38.7999992371
150	28.1000003815	38.5
151	28.1000003815	38.5
152	28.2000007629	38.2999992371
153	28.2000007629	38.0999984741
154	28.1000003815	37.0999984741
155	28.2000007629	37.2000007629
156	28.2000007629	36.7999992371
157	28.2000007629	36.7999992371
158	28.2000007629	37.0
159	28.2999992371	36.7999992371
160	28.2000007629	36.7000007629
161	28.2999992371	36.7999992371
162	28.1000003815	37.0999984741
163	28.2000007629	36.7000007629
164	28.2000007629	36.7999992371
165	28.2999992371	36.7000007629
166	28.2999992371	36.7000007629
167	28.2999992371	36.7999992371
168	28.2000007629	36.9000015259
169	28.2999992371	36.5999984741
170	28.2999992371	36.2999992371
171	28.2000007629	36.0999984741
172	28.2999992371	36.0
173	28.2999992371	35.7000007629
174	28.2999992371	35.9000015259
175	28.2000007629	35.9000015259
176	28.2999992371	35.5
177	28.2999992371	35.5999984741
178	28.2000007629	35.7000007629
179	28.2000007629	35.2999992371
180	28.2000007629	35.2999992371
181	28.2000007629	35.4000015259
